"HareGasex98ObsCO2ws","HareGasex98ObsCO2k660","HareGasex98COARECO2ws","HareGasex98COARECO2k660","BlomquistCOAREDMSws", "BlomquistCOAREDMSkDMS","BloquistObsDMSws","BloquistObsDMSkDMS","BlomquistGasex01CO2ws","BlomquistGasex01CO2kCO2", "BlomquistGasex98CO2ws","BlomquistGasex98CO2kCO2","HuebertCOARECO2nobubws","HuebertCOARECO2nobubk660", "HuebertCOARECO2bubws","HuebertCOARECO2bubk660","HuebertCOAREDMSnobubws","HuebertCOAREDMSnobubk660", "HuebertCOAREDMSbubws","HuebertCOAREDMSbubk660","HuebertObsDMSws","HuebertObsDMSk660","MillerKnorrbCO2ws","MillerKnorrbCO2k660", "MillerKnorrbDMSws","MillerKnorrbDMSk660","MillerGasex01CO2ws","MillerGasex01CO2k660","MillerGasex98CO2ws","MillerGasex98CO2k660", "MillerKnora+bCO2ws","MillerKnora+bCO2k660","JeffreyCOAREtunedws","JeffreyCOAREtunedk660","JeffreyLissMerw/s","JeffreyLissMerk660","JeffreyNightingaledataws","JeffreyNightingaledatak660","WatsonRoetherdataRadonklws", "WatsonRoetherdataRadonkl","WatsonObsws","WatsonObskl"
,,,,,,7.27,10.52,,,,,4.87,7.82,4.89,8.47,5.04,7.85,5.07,7.95,6.82,11.52,,,,,,,,,,,,,,,12.59,25.56,,,,
,,,,,,7.34,10.51,,,,,4.91,8.05,4.92,8.66,5.13,7.92,5.16,7.92,7.51,14.68,,,,,,,,,,,,,,,14.7,61.94,,,,
,,,,,,7.32,10.96,,,,,4.99,8.11,4.96,8.79,5.23,7.92,5.23,7.98,7.79,16.97,,,,,,,,,,,,,,,,,,,,
,,,,,,7.29,12.52,,,,,5.04,8.24,5.01,8.82,5.27,7.66,5.27,7.66,7.84,14.65,,,,,,,,,,,,,,,,,,,,
,,,,,,7.68,10.68,,,,,5.12,8.27,5.06,9.01,5.39,7.76,5.41,7.66,8.12,17.45,,,,,,,,,,,,,,,,,,,,
,,,,,,7.85,11.99,,,,,5.24,8.27,5.11,9.05,5.39,8.3,5.39,8.18,8.26,14.94,,,,,,,,,,,,,,,,,,,,
,,,,,,8,11.61,,,,,5.28,8.05,5.23,9.14,5.47,8.53,5.42,8.5,8.34,17,,,,,,,,,,,,,,,,,,,,
,,,,,,8.34,11.55,,,,,5.41,8.63,5.27,8.92,5.48,8.11,5.49,8.08,8.54,12.23,,,,,,,,,,,,,,,,,,,,
,,,,,,6.49,13.48,,,,,5.47,8.85,5.39,9.17,5.51,8.14,5.55,8.53,8.83,13.26,,,,,,,,,,,,,,,,,,,,
,,,,,,6.28,15.18,,,,,5.55,8.92,5.41,9.66,5.61,8.21,5.61,8.21,9.04,6.17,,,,,,,,,,,,,,,,,,,,
,,,,,,7.35,15.65,,,,,5.7,9.05,5.46,9.92,5.69,8.69,5.69,8.76,9.08,10.68,,,,,,,,,,,,,,,,,,,,
,,,,,,7.79,14.79,,,,,5.84,9.34,5.56,10.01,5.84,8.11,5.84,8.17,9.43,23.64,,,,,,,,,,,,,,,,,,,,
,,,,,,7.46,13.74,,,,,5.9,9.24,5.6,9.75,5.84,8.88,5.84,9.01,9.6,9.36,,,,,,,,,,,,,,,,,,,,
,,,,,,7.46,13.19,,,,,5.98,9.56,5.69,10.24,5.9,8.88,5.91,8.82,9.74,18.77,,,,,,,,,,,,,,,,,,,,
,,,,,,7.45,12.85,,,,,6.07,9.53,5.82,10.53,5.99,9.11,5.98,9.21,9.83,22.32,,,,,,,,,,,,,,,,,,,,
,,,,,,7.74,13.5,,,,,6.18,9.5,5.84,9.85,6.08,9.21,6.08,9.24,9.89,14.52,,,,,,,,,,,,,,,,,,,,
,,,,,,7.86,12.81,,,,,6.23,9.72,5.89,10.46,6.18,9.14,6.17,9.14,9.92,16.8,,,,,,,,,,,,,,,,,,,,
,,,,,,8.06,13.7,,,,,6.65,10.4,6,10.85,6.25,9.33,6.24,9.33,9.94,20.58,,,,,,,,,,,,,,,,,,,,
,,,,,,8.24,13.9,,,,,6.7,10.49,6.08,11.04,6.65,10.01,6.63,10.36,9.94,7.65,,,,,,,,,,,,,,,,,,,,
,,,,,,8.71,12.5,,,,,6.81,10.75,6.18,10.98,6.7,10.11,6.7,10.46,10.01,27.25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7.51,11.52,6.26,11.33,6.82,10.27,6.82,10.65,10.06,28.64,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7.58,11.88,6.66,12.4,7.5,11.07,7.5,11.56,10.13,20.35,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7.78,12.46,6.7,12.52,7.57,11.33,7.57,11.88,10.19,17.13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7.84,12.26,6.81,12.78,7.77,11.97,7.78,12.59,10.28,26.31,,,,,,,,,,,,,,,,,,,,
